subset_id,cols,auc,auc_lo,auc_hi,auc_str,accuracy,f1_pos,f1_neg
1,"emb_790,emb_448,emb_668,emb_91,emb_443",0.5179988662131519,0.4267147088661126,0.6098277899610136,"0.518 [0.427, 0.610]",0.5714285714285714,0.6976744186046512,0.2641509433962264
2,"emb_997,emb_96,emb_537,emb_779,emb_752",0.5330215419501134,0.44223135693671406,0.6229880671368067,"0.533 [0.442, 0.623]",0.5879120879120879,0.6987951807228916,0.34782608695652173
3,"emb_511,emb_856,emb_459,emb_379,emb_186",0.5918367346938777,0.5061994762893965,0.6721707219112769,"0.592 [0.506, 0.672]",0.6263736263736264,0.711864406779661,0.46875
4,"emb_556,emb_232,emb_460,emb_453,emb_839",0.5043934240362812,0.4098239674871953,0.594061594633375,"0.504 [0.410, 0.594]",0.5384615384615384,0.6410256410256411,0.35384615384615387
5,"emb_169,emb_875,emb_845,emb_282,emb_646",0.4788832199546485,0.39405936967178173,0.572311609680046,"0.479 [0.394, 0.572]",0.5274725274725275,0.6228070175438597,0.36764705882352944
6,"emb_912,emb_797,emb_455,emb_990,emb_693",0.49503968253968256,0.3980198165869219,0.5872626821231577,"0.495 [0.398, 0.587]",0.5769230769230769,0.6831275720164609,0.36363636363636365
7,"emb_44,emb_507,emb_558,emb_761,emb_157",0.42431972789115646,0.3312498725634125,0.5181370991118145,"0.424 [0.331, 0.518]",0.532967032967033,0.6443514644351465,0.32
8,"emb_926,emb_379,emb_332,emb_419,emb_986",0.6057256235827665,0.5114614192451175,0.6939353178910416,"0.606 [0.511, 0.694]",0.6318681318681318,0.7351778656126482,0.3963963963963964
9,"emb_472,emb_338,emb_486,emb_701,emb_132",0.48681972789115646,0.39937280659085667,0.5771492822966507,"0.487 [0.399, 0.577]",0.5439560439560439,0.6527196652719666,0.336
10,"emb_717,emb_644,emb_850,emb_164,emb_445",0.572562358276644,0.486438850372685,0.6654117562242159,"0.573 [0.486, 0.665]",0.5659340659340659,0.6425339366515838,0.44755244755244755
11,"emb_396,emb_919,emb_860,emb_443,emb_821",0.524234693877551,0.43142594429863396,0.6113788540073056,"0.524 [0.431, 0.611]",0.5879120879120879,0.6963562753036437,0.358974358974359
12,"emb_142,emb_850,emb_204,emb_7,emb_823",0.5338718820861678,0.4434152935404234,0.6293184528668082,"0.534 [0.443, 0.629]",0.5494505494505495,0.6611570247933884,0.32786885245901637
13,"emb_798,emb_480,emb_719,emb_568,emb_283",0.5257936507936508,0.4280177680587859,0.609512580162432,"0.526 [0.428, 0.610]",0.532967032967033,0.6502057613168725,0.2975206611570248
14,"emb_142,emb_684,emb_117,emb_250,emb_449",0.48299319727891155,0.39408697764376216,0.5731251692789076,"0.483 [0.394, 0.573]",0.554945054945055,0.6848249027237354,0.24299065420560748
15,"emb_649,emb_578,emb_781,emb_80,emb_587",0.5094954648526078,0.4197584388636947,0.6035515327926042,"0.509 [0.420, 0.604]",0.5714285714285714,0.680327868852459,0.35
16,"emb_615,emb_31,emb_355,emb_310,emb_447",0.5643424036281179,0.4754480402890987,0.6545828118117,"0.564 [0.475, 0.655]",0.5879120879120879,0.6861924686192469,0.4
17,"emb_35,emb_871,emb_841,emb_239,emb_1012",0.5514455782312925,0.4596323324773612,0.6440160240473307,"0.551 [0.460, 0.644]",0.5604395604395604,0.6460176991150443,0.42028985507246375
18,"emb_299,emb_443,emb_570,emb_129,emb_676",0.3628117913832199,0.27913249538946017,0.45380517906369394,"0.363 [0.279, 0.454]",0.44505494505494503,0.5702127659574469,0.21705426356589147
19,"emb_832,emb_427,emb_328,emb_414,emb_417",0.4543650793650794,0.37094707056241216,0.5391850736990781,"0.454 [0.371, 0.539]",0.510989010989011,0.6276150627615062,0.288
20,"emb_472,emb_787,emb_738,emb_91,emb_712",0.4505385487528345,0.36156814110513985,0.5354538177420636,"0.451 [0.362, 0.535]",0.510989010989011,0.6212765957446809,0.31007751937984496
MEAN,mean of 20 random subsets of size 5,0.5085246598639456,0.4518921898978182,0.5651571298300729,0.509 ±0.057,0.5557692307692308,0.6627131796926267,0.34392908077109235
