ticker,model,fold,auc_mean,auc_std,train_balance,test_balance,shift,n_test
ITUB4,baseline_xgb,0,0.7506185056902523,0.010266449243565763,0.5233333333333333,0.4777777777777778,-0.045555555555555516,90
ITUB4,baseline_xgb,1,0.6113095238095239,0.010145031609202902,0.5666666666666667,0.5333333333333333,-0.033333333333333326,90
ITUB4,baseline_xgb,2,0.7169870129870131,0.006313344873732767,0.5564102564102564,0.6111111111111112,0.05470085470085473,90
ITUB4,baseline_xgb,3,0.7736103896103896,0.01578827702276639,0.5540229885057472,0.6111111111111112,0.057088122605364,90
ITUB4,baseline_xgb,4,0.6499597099113618,0.030400200166529754,0.559375,0.8111111111111111,0.25173611111111116,90
ITUB4,transformer_finbert,0,0.5734375,0.09582108580418967,0.5233333333333333,0.4777777777777778,-0.045555555555555516,60
ITUB4,transformer_finbert,1,0.4626984126984127,0.25583768262526924,0.5666666666666667,0.5333333333333333,-0.033333333333333326,60
ITUB4,transformer_finbert,2,0.12945454545454543,0.028931380772241572,0.5564102564102564,0.6111111111111112,0.05470085470085473,60
ITUB4,transformer_finbert,3,0.5097142857142858,0.13839193087247625,0.5540229885057472,0.6111111111111112,0.057088122605364,60
ITUB4,transformer_finbert,4,0.5502051983584131,0.27565811123496464,0.559375,0.8111111111111111,0.25173611111111116,60
PETR4,baseline_xgb,0,0.3497,0.008144016208235336,0.655,0.5555555555555556,-0.09944444444444445,90
PETR4,baseline_xgb,1,0.666547679755227,0.026466408057348886,0.6739130434782609,0.4111111111111111,-0.26280193236714977,90
PETR4,baseline_xgb,2,0.8654835390946503,0.014859935005817195,0.6602564102564102,0.6,-0.060256410256410264,90
PETR4,baseline_xgb,3,0.8170999999999999,0.005354904294196096,0.6344827586206897,0.5555555555555556,-0.07892720306513412,90
PETR4,baseline_xgb,4,0.8094861660079051,0.013433829899925167,0.63125,0.4888888888888889,-0.1423611111111111,90
PETR4,transformer_finbert,0,0.5474969474969476,0.18342185792844398,0.655,0.5555555555555556,-0.09944444444444445,60
PETR4,transformer_finbert,1,0.469212962962963,0.060825035371823204,0.6739130434782609,0.4111111111111111,-0.26280193236714977,60
PETR4,transformer_finbert,2,0.32053571428571426,0.24304156313485384,0.6602564102564102,0.6,-0.060256410256410264,60
PETR4,transformer_finbert,3,0.3750962772785623,0.04923777284836417,0.6344827586206897,0.5555555555555556,-0.07892720306513412,60
PETR4,transformer_finbert,4,0.525,0.2760428449066755,0.63125,0.4888888888888889,-0.1423611111111111,60
VALE3,baseline_xgb,0,0.4857991093518061,0.027901449124624184,0.4666666666666667,0.5222222222222223,0.05555555555555558,90
VALE3,baseline_xgb,1,0.5527327935222672,0.02365965109570153,0.47681159420289854,0.4222222222222222,-0.054589371980676316,90
VALE3,baseline_xgb,2,0.7270658090054428,0.022912710046730535,0.48205128205128206,0.4777777777777778,-0.004273504273504258,90
VALE3,baseline_xgb,3,0.719742701632855,0.019232563479792665,0.47586206896551725,0.4777777777777778,0.0019157088122605526,90
VALE3,baseline_xgb,4,0.5118773946360153,0.03650920842780566,0.47604166666666664,0.9666666666666667,0.49062500000000003,90
VALE3,transformer_finbert,0,0.4383078730904818,0.12039636684192896,0.4666666666666667,0.5222222222222223,0.05555555555555558,60
VALE3,transformer_finbert,1,0.6042986425339366,0.19760050698612075,0.47681159420289854,0.4222222222222222,-0.054589371980676316,60
VALE3,transformer_finbert,2,0.8508891928864569,0.08951708973451646,0.48205128205128206,0.4777777777777778,-0.004273504273504258,60
VALE3,transformer_finbert,3,0.6462053571428572,0.09131005916816266,0.47586206896551725,0.4777777777777778,0.0019157088122605526,60
