auc,n_train,n_test,train_balance,test_balance,strategy,fold,seed
0.6590796635329045,600,90,0.525,0.4777777777777778,same_day,0,0
0.6462147451756557,600,90,0.525,0.4777777777777778,same_day,0,1
0.7006432459178624,600,90,0.525,0.4777777777777778,same_day,0,2
0.6472043542800594,600,90,0.525,0.4777777777777778,same_day,0,3
0.6961900049480455,600,90,0.525,0.4777777777777778,same_day,0,4
0.5813360530341662,690,90,0.5666666666666667,0.5888888888888889,same_day,1,0
0.5680775114737379,690,90,0.5666666666666667,0.5888888888888889,same_day,1,1
0.5869454360020397,690,90,0.5666666666666667,0.5888888888888889,same_day,1,2
0.5986741458439572,690,90,0.5666666666666667,0.5888888888888889,same_day,1,3
0.5588985211626721,690,90,0.5666666666666667,0.5888888888888889,same_day,1,4
0.7330000000000001,780,90,0.5564102564102564,0.5555555555555556,same_day,2,0
0.7384999999999999,780,90,0.5564102564102564,0.5555555555555556,same_day,2,1
0.746,780,90,0.5564102564102564,0.5555555555555556,same_day,2,2
0.7404999999999999,780,90,0.5564102564102564,0.5555555555555556,same_day,2,3
0.7404999999999999,780,90,0.5564102564102564,0.5555555555555556,same_day,2,4
0.7511688311688313,870,90,0.5597701149425287,0.6111111111111112,same_day,3,0
0.7548051948051947,870,90,0.5597701149425287,0.6111111111111112,same_day,3,1
0.6961038961038961,870,90,0.5597701149425287,0.6111111111111112,same_day,3,2
0.7402597402597403,870,90,0.5597701149425287,0.6111111111111112,same_day,3,3
0.7319480519480519,870,90,0.5597701149425287,0.6111111111111112,same_day,3,4
0.6736502820306204,960,90,0.559375,0.8111111111111111,same_day,4,0
0.5906526994359388,960,90,0.559375,0.8111111111111111,same_day,4,1
0.5640612409347301,960,90,0.559375,0.8111111111111111,same_day,4,2
0.6390008058017728,960,90,0.559375,0.8111111111111111,same_day,4,3
0.5592264302981467,960,90,0.559375,0.8111111111111111,same_day,4,4
0.6833250865907966,600,90,0.525,0.4777777777777778,lag_1d,0,0
0.6749134092033646,600,90,0.525,0.4777777777777778,lag_1d,0,1
0.6754082137555666,600,90,0.525,0.4777777777777778,lag_1d,0,2
0.6897575457694212,600,90,0.525,0.4777777777777778,lag_1d,0,3
0.6798614547253835,600,90,0.525,0.4777777777777778,lag_1d,0,4
0.5741968383477818,690,90,0.5666666666666667,0.5888888888888889,lag_1d,1,0
0.5354411014788374,690,90,0.5666666666666667,0.5888888888888889,lag_1d,1,1
0.5747067822539521,690,90,0.5666666666666667,0.5888888888888889,lag_1d,1,2
0.5629780724120347,690,90,0.5666666666666667,0.5888888888888889,lag_1d,1,3
0.5374808771035187,690,90,0.5666666666666667,0.5888888888888889,lag_1d,1,4
0.6965,780,90,0.5564102564102564,0.5555555555555556,lag_1d,2,0
0.7015,780,90,0.5564102564102564,0.5555555555555556,lag_1d,2,1
0.7150000000000001,780,90,0.5564102564102564,0.5555555555555556,lag_1d,2,2
0.699,780,90,0.5564102564102564,0.5555555555555556,lag_1d,2,3
0.6920000000000001,780,90,0.5564102564102564,0.5555555555555556,lag_1d,2,4
0.6410389610389611,870,90,0.5597701149425287,0.6111111111111112,lag_1d,3,0
0.6664935064935065,870,90,0.5597701149425287,0.6111111111111112,lag_1d,3,1
0.6067532467532468,870,90,0.5597701149425287,0.6111111111111112,lag_1d,3,2
0.6301298701298701,870,90,0.5597701149425287,0.6111111111111112,lag_1d,3,3
0.6202597402597403,870,90,0.5597701149425287,0.6111111111111112,lag_1d,3,4
0.6478646253021756,960,90,0.559375,0.8111111111111111,lag_1d,4,0
0.5987107171635777,960,90,0.559375,0.8111111111111111,lag_1d,4,1
0.6663980660757454,960,90,0.559375,0.8111111111111111,lag_1d,4,2
0.6236905721192586,960,90,0.559375,0.8111111111111111,lag_1d,4,3
0.6881547139403706,960,90,0.559375,0.8111111111111111,lag_1d,4,4
